u,True Values,Asymptotic Values,Simulated Values
11.879999999999999,0.24856667765436075,0.0856169236711752,0.24746
11.94,0.24327240065784636,0.0843709473232704,0.24354
12.0,0.23805674373360997,0.08312420979679212,0.2396
12.059999999999999,0.23291969151033082,0.08187747040012514,0.23367
12.12,0.2278611826227432,0.08063146600447642,0.22757
12.18,0.22288111113364342,0.07938691095022932,0.222335
12.24,0.21797932795875155,0.07814449698993478,0.21869
12.299999999999999,0.21315564229224856,0.07690489326642387,0.2128
12.36,0.20840982303089825,0.07566874632452796,0.20805
12.42,0.20374160019476398,0.07443668015489965,0.20265
12.48,0.19915066634261885,0.07320929626843646,0.198585
12.54,0.19463667798024614,0.07198717379982156,0.19464
12.6,0.19019925695991588,0.07077086963871111,0.189925
12.66,0.18583799186941685,0.06956091858711537,0.184785
12.719999999999999,0.18155243940911203,0.06835783354153967,0.18277
12.78,0.17734212575557287,0.06716210569847399,0.177335
12.84,0.1732065479104391,0.06597420478184464,0.172115
12.9,0.16914517503322996,0.06479457929106495,0.16837
12.959999999999999,0.16515744975692134,0.06362365676835172,0.165215
13.02,0.1612427894851821,0.06246184408400133,0.162035
13.08,0.15740058767024506,0.06130952773835055,0.158745
13.139999999999999,0.15363021507046193,0.060167074179177285,0.153235
13.2,0.14993102098667208,0.05903483013332975,0.15071
13.26,0.14630233447658544,0.057913122951405646,0.146915
13.32,0.142743465546452,0.05680226096433566,0.14289
13.379999999999999,0.13925370631935946,0.055702533850761786,0.140175
13.44,0.13583233217956872,0.054614213014134674,0.13612
13.5,0.13247860289236146,0.05353755196849052,0.13238
13.559999999999999,0.1291917636989342,0.052472786731902726,0.130045
13.62,0.12597104638593704,0.05142013622664038,0.127845
13.68,0.12281567032931283,0.0503798026851013,0.12292
13.74,0.1197248435121438,0.049351972060622626,0.11986
13.799999999999999,0.11669776351627337,0.04833681444230885,0.11762
13.86,0.11373361848751591,0.047334484473052094,0.113205
13.92,0.11083158807432053,0.046345121769955554,0.111315
13.979999999999999,0.1079908443397986,0.04536885134640537,0.108935
14.04,0.10521055264707119,0.04440578403507159,0.105215
14.1,0.10248987251793605,0.04345601691115335,0.102995
14.16,0.09982795846489077,0.042519633715216505,0.10016
14.219999999999999,0.09722396079659039,0.04159670527500625,0.09833
14.28,0.0946770263968519,0.040687289925649094,0.094615
14.34,0.09218629947735443,0.039791433927691966,0.09307
14.399999999999999,0.08975092230421253,0.03890917188245607,0.090035
14.459999999999999,0.08737003589863397,0.03804052714421557,0.087185
14.52,0.08504278071190076,0.03718551222874042,0.085295
14.58,0.08276829727493659,0.0363441292177721,0.08105
14.639999999999999,0.08054572682275239,0.03551637015903004,0.08048
14.7,0.07837421189408086,0.03470221746137381,0.079125
14.76,0.0762528969065361,0.033901644284774185,0.07634
14.82,0.07418092870765054,0.033114614924771094,0.074665
14.879999999999999,0.07215745710216187,0.0323410851911232,0.071585
14.94,0.07018163535593853,0.0315810027803778,0.070015
15.0,0.06825262067694772,0.030834307642113822,0.06786
15.059999999999999,0.06636957467368244,0.030100932338633472,0.066244
15.12,0.06453166379147803,0.029380802397900314,0.064772
15.18,0.06273805972715897,0.028673836659543383,0.062998
15.24,0.06098793982246535,0.027979947613766373,0.061078
15.299999999999999,0.05928048743671881,0.027299041733021816,0.059296
15.36,0.057614892299193386,0.02663101979632818,0.05722
15.42,0.055990350841664295,0.025975777206126472,0.056306
15.479999999999999,0.054406066511611124,0.025333204297589784,0.054692
15.54,0.05286125006655726,0.02470318664031585,0.052688
15.6,0.05135511985003092,0.02408560533234881,0.051182
15.66,0.04988690204963298,0.023480337286490568,0.049596
15.719999999999999,0.048455830937700985,0.022887255508877026,0.048418
15.78,0.04706114909505691,0.0223062293698076,0.046994
15.84,0.04570210761832766,0.021737124866829584,0.045936
15.899999999999999,0.044377966311324554,0.021179804880090303,0.043894
15.959999999999999,0.04308799386096733,0.020634129419982133,0.043442
16.02,0.04183146799823609,0.02009995586711592,0.041588
16.08,0.04060767564463001,0.01957713920466813,0.0405
16.14,0.03941591304460922,0.019065532243156807,0.039308
16.2,0.03825548588449267,0.018564985837710542,0.038452
16.259999999999998,0.03712570939827717,0.018075349097901827,0.037222
16.32,0.03602590846084184,0.017596469590225285,0.036082
16.38,0.0349554176689931,0.017128193533307207,0.034728
16.439999999999998,0.03391358141080039,0.016670365985939753,0.033726
16.5,0.03289975392366754,0.01622283102803952,0.032648
16.56,0.03191329934157665,0.015785431934635493,0.032422
16.62,0.030953591731933995,0.015358011342995937,0.030592
16.68,0.03002001512244237,0.014940411413009669,0.030016
16.74,0.029111963518413577,0.014532473980939698,0.029218
16.8,0.028228840910929854,0.014134040706672355,0.028072
16.86,0.027370061276253382,0.013744953214587501,0.027134
16.919999999999998,0.02653504856687469,0.013365053228178339,0.026662
16.98,0.02572323669458402,0.01299418269855251,0.025818
17.04,0.02493406950593972,0.01263218392694772,0.025346
17.099999999999998,0.02416700075049934,0.012278899681397032,0.023996
17.16,0.023421494042171597,0.01193417330768094,0.023336
17.22,0.02269702281403758,0.011597848834704135,0.022738
17.28,0.021993070266980448,0.0112697710744356,0.022028
17.34,0.021309129312456005,0.010949785716552187,0.021246
17.4,0.02064470250972497,0.010637739417924891,0.020606
17.46,0.01999930199786152,0.010333479887088496,0.019884
17.52,0.01937244942284217,0.010036855963834189,0.019688
17.58,0.018763675860010653,0.009747717694064729,0.018678
17.64,0.018172521732206393,0.009465916400051455,0.018264
17.7,0.017598536723834553,0.009191304746231367,0.017368
17.759999999999998,0.01704127969114731,0.00892373680068152,0.017174
17.82,0.016500318568997824,0.0086630680924074,0.016616
17.88,0.01597523027431942,0.008409155664580201,0.015906
17.939999999999998,0.015465600606573895,0.008161858123856596,0.015724
18.0,0.01497102414540553,0.00792103568591348,0.014888
18.06,0.01449110414572815,0.007686550217328083,0.014346
18.12,0.014025452430464764,0.007458265273932089,0.014098
18.18,0.013573689281152108,0.007236046135767091,0.0136
18.24,0.013135443326613186,0.007019759838765856,0.013126
18.3,0.01271035142989462,0.0068092752032827605,0.01262
18.36,0.012298058573657138,0.006604462859593967,0.012222
18.419999999999998,0.01189821774420016,0.0064051952704859095,0.012034
18.48,0.01151048981429479,0.006211346751048637,0.011776
18.54,0.011134543424991686,0.006022793485787958,0.011286
18.599999999999998,0.010770054866563404,0.005839413543167989,0.010734
