u,Asymptotic Values,Numerical Inverse Values,Simulated Values
4.4399999999999995,0.3940684401252501,0.140458699490672,0.144
4.5,0.3876376661011099,0.139310256568701,0.1382
4.56,0.3813799144244474,0.138177897328583,0.1358
4.62,0.37528873719715106,0.137061284812908,0.13895
4.68,0.3693579922080498,0.135960092116664,0.1391
4.74,0.3635818254049138,0.134874001901760,0.1316
4.8,0.3579546545419826,0.133802706080112,0.1347
4.859999999999999,0.3524711539129811,0.132745905351487,0.12925
4.92,0.34712624008732534,0.131703309016244,0.13565
4.9799999999999995,0.34191505857421856,0.130674634465279,0.132
5.04,0.3368329713456786,0.129659607045393,0.1272
5.1,0.3318755451552935,0.128657959543008,0.12685
5.16,0.327038540594716,0.127669432223598,0.12845
5.22,0.32231790183465653,0.126693772195150,0.1261
5.279999999999999,0.317709747001442,0.125730733475582,0.119
5.34,0.31321035914413947,0.124780076508524,0.1241
5.3999999999999995,0.3088161777508183,0.123841568116978,0.1236
5.46,0.304523790775787,0.122914981102966,0.123
5.52,0.30032992714262174,0.122000094255611,0.12075
5.58,0.2962314496905207,0.121096692071682,0.12265
5.64,0.2922253485340109,0.120204564131773,0.1178
5.7,0.28830873480830443,0.119323505701469,0.12025
5.76,0.28447883477469277,0.118453317061426,0.12125
5.819999999999999,0.2807329842622741,0.117593803365873,0.12125
5.88,0.27706862342406374,0.116744774597219,0.11395
5.9399999999999995,0.2734832917871482,0.115906045310124,0.11615
6.0,0.2699746235780195,0.115077434599294,0.11375
6.06,0.26654034330558835,0.114258765844207,0.11515
6.12,0.2631782615856255,0.113449866586163,0.1131
6.18,0.2598862711915306,0.112650568489908,0.11645
6.24,0.2566623433173917,0.111860706435147,0.1112
6.3,0.2535045240402758,0.111080122134821,0.11165
6.359999999999999,0.2504109309695943,0.110308656266747,0.10915
6.42,0.24737975007222113,0.109546156399362,0.11395
6.4799999999999995,0.24440923266281106,0.108792472709908,0.1064
6.54,0.24149769254947936,0.108047458721450,0.11055
6.6,0.23864350332566173,0.107310971219726,0.10315
6.66,0.2358450957995836,0.106582870300896,0.1111
6.72,0.2331009555533337,0.105863019070739,0.1066
6.779999999999999,0.23040962062406004,0.105151283607877,0.1028
6.84,0.22776967930029157,0.104447532993820,0.1027
6.8999999999999995,0.2251797680268418,0.103751639243451,0.10695
6.96,0.2226385694121658,0.103063475840104,0.10165
7.02,0.22014481033243413,0.102382922086166,0.0994
7.08,0.21769726012694676,0.101709856572562,0.1008
7.14,0.2152947288798469,0.101044161870006,0.10085
7.199999999999999,0.21293606578340804,0.100385723034413,0.1028
7.26,0.21062015757845673,0.0997344273947869,0.10045
7.319999999999999,0.20834592706776936,0.0990901645253692,0.0982
7.38,0.20611233169852833,0.0984528261378776,0.0981
7.4399999999999995,0.20391836221016418,0.0978223066418651,0.09805
7.5,0.20176304134412804,0.0971985021290633,0.0961
7.56,0.19964542261234328,0.0965813111016307,0.0953
7.62,0.19756458912127944,0.0959706339009183,0.09295
7.68,0.19551965244877037,0.0953663727807865,0.0938
7.739999999999999,0.19350975157086342,0.0947684322166595,0.09675
7.8,0.1915340518361483,0.0941767184642335,0.0907
7.859999999999999,0.18959174398515682,0.0935911394648667,0.09585
7.92,0.18768204321256307,0.0930116052486958,0.0922
7.9799999999999995,0.1858041882700445,0.0924380272433338,0.09195
8.04,0.1839574406077819,0.0918703187770111,0.09235
8.1,0.18214108355269118,0.0913083949493236,0.08915
8.16,0.18035442152158565,0.0907521722715479,0.09055
8.219999999999999,0.17859677926756626,0.0902015692873959,0.09545
8.28,0.1768675011580315,0.0896565055735170,0.08755
8.34,0.175165950482786,0.0891169021283122,0.09385
8.4,0.17349150879080907,0.0885826812052897,0.08505
8.459999999999999,0.1718435752543222,0.0880537680720983,0.0881
8.52,0.1702215660588667,0.0875300877272771,0.08695
8.58,0.16862491381817288,0.0870115675000838,0.088
8.64,0.1670530670126636,0.0864981345756255,0.08735
8.7,0.16550548945049887,0.0859897197523605,0.0816
8.76,0.1639816597501229,0.0854862537962906,0.0835
8.82,0.16248107084333063,0.0849876682314386,0.0849
8.879999999999999,0.16100322949791948,0.0844938966058024,0.08375
8.94,0.15954765585904207,0.0840048736072125,0.08255
9.0,0.15811388300841897,0.0835205346478776,0.083
9.06,0.1567014565406142,0.0830408168499219,0.0812
9.12,0.1553099341556155,0.0825656584621419,0.0814
9.18,0.1539388852669997,0.0820949976933039,0.081
9.24,0.152587890625,0.0816287751068587,0.0811
9.299999999999999,0.15125654195382426,0.0811669322713118,0.08115
9.36,0.1499444416026062,0.0807094107921493,0.07785
9.42,0.14865120220940253,0.0802561536012296,0.0798
9.48,0.14737644637767544,0.0798071058539589,0.07925
9.54,0.146119806364729,0.0793622115634696,0.07885
9.6,0.14488092378159226,0.0789214181033044,0.0759
9.66,0.143659449303867,0.0784846714092400,0.076
9.719999999999999,0.14245504239307982,0.0780519147699665,0.0773
9.78,0.14126737102810127,0.0776231075451912,0.07955
9.84,0.14009611144621473,0.0771981931581207,0.07925
9.9,0.1389409478934364,0.0767771195652331,0.0784
9.959999999999999,0.13780157238370827,0.0763598420522176,0.07505
10.02,0.13667768446660117,0.0759463105566909,0.0773
10.08,0.1355689910031836,0.0755364792357109,0.07385
